emp_id,emp_name,department,city,salary,experience,hire_date,performance_score
1,Employee_1,IT,Chandigarh,136074,2,2020-11-10,1
2,Employee_2,Sales,Bengaluru,86898,20,2022-04-04,2
3,Employee_3,HR,Bengaluru,28715,12,2022-11-08,5
4,Employee_4,HR,Jaipur,83377,8,2020-07-26,5
5,Employee_5,HR,Pune,29009,0,2018-04-15,5
6,Employee_6,HR,Bengaluru,114978,6,2022-09-25,1
7,Employee_7,Marketing,Mumbai,125099,14,2023-07-24,5
8,Employee_8,IT,Pune,55260,7,2023-02-26,3
9,Employee_9,HR,Bengaluru,134783,17,2019-02-14,2
10,Employee_10,Operations,Jaipur,137714,9,2019-05-11,3
11,Employee_11,Operations,Jaipur,90640,13,2023-09-11,2
12,Employee_12,Finance,Pune,102015,15,2023-09-01,4
13,Employee_13,Marketing,Delhi,87944,7,2022-07-14,4
14,Employee_14,Operations,Mumbai,73119,17,2022-03-15,1
15,Employee_15,Sales,Jaipur,91640,3,2019-11-02,5
16,Employee_16,Sales,Pune,89185,0,2023-04-07,1
17,Employee_17,Finance,Jaipur,136188,19,2024-08-26,5
18,Employee_18,Sales,Jaipur,47328,5,2023-08-20,2
19,Employee_19,HR,Mumbai,95728,17,2020-08-08,4
20,Employee_20,Marketing,Pune,149841,18,2021-12-18,4
21,Employee_21,Finance,Jaipur,96826,19,2018-01-24,4
22,Employee_22,Operations,Chandigarh,131055,4,2023-10-26,5
23,Employee_23,IT,Bengaluru,149481,1,2023-05-25,3
24,Employee_24,Marketing,Chandigarh,51193,16,2022-08-21,4
25,Employee_25,Finance,Bengaluru,70361,0,2024-01-15,5
26,Employee_26,Marketing,Chandigarh,68402,14,2024-09-23,1
27,Employee_27,IT,Jaipur,48227,17,2024-07-21,2
28,Employee_28,HR,Chandigarh,129477,8,2018-05-13,1
29,Employee_29,HR,Delhi,84375,0,2021-02-25,2
30,Employee_30,Finance,Delhi,129502,19,2020-01-27,3
31,Employee_31,Finance,Delhi,46950,5,2020-11-11,5
32,Employee_32,IT,Jaipur,60771,20,2021-04-21,4
33,Employee_33,Operations,Pune,90076,15,2019-04-13,1
34,Employee_34,Finance,Bengaluru,70002,13,2020-02-10,3
35,Employee_35,HR,Pune,142941,16,2020-05-06,5
36,Employee_36,Sales,Delhi,54540,0,2022-06-16,2
37,Employee_37,HR,Jaipur,46001,14,2023-09-05,4
38,Employee_38,Marketing,Mumbai,107676,16,2023-01-21,2
39,Employee_39,Marketing,Jaipur,29023,12,2024-06-16,3
40,Employee_40,Operations,Jaipur,80875,1,2021-05-08,2
41,Employee_41,IT,Delhi,65158,2,2018-11-10,3
42,Employee_42,Finance,Jaipur,45736,13,2024-05-02,3
43,Employee_43,IT,Delhi,98494,1,2024-08-16,2
44,Employee_44,Marketing,Bengaluru,47481,19,2023-09-16,1
45,Employee_45,Sales,Mumbai,70472,3,2020-04-22,5
46,Employee_46,Operations,Bengaluru,102517,6,2023-07-10,1
47,Employee_47,Operations,Bengaluru,63806,16,2023-08-10,1
48,Employee_48,Finance,Chandigarh,139245,12,2021-02-26,1
49,Employee_49,IT,Mumbai,137399,10,2024-04-26,2
50,Employee_50,Finance,Bengaluru,52922,8,2019-01-30,4
51,Employee_51,Marketing,Pune,144858,17,2023-06-08,5
52,Employee_52,IT,Delhi,120088,1,2018-12-13,2
53,Employee_53,IT,Mumbai,144404,17,2020-05-22,3
54,Employee_54,Finance,Chandigarh,91307,8,2022-02-16,3
55,Employee_55,Finance,Delhi,63170,7,2024-10-09,4
56,Employee_56,IT,Chandigarh,97243,3,2021-08-06,1
57,Employee_57,Sales,Delhi,74837,4,2019-05-28,3
58,Employee_58,HR,Chandigarh,101992,12,2018-11-10,5
59,Employee_59,Marketing,Mumbai,99182,2,2020-12-28,3
60,Employee_60,Finance,Chandigarh,95031,3,2023-02-19,3
61,Employee_61,HR,Delhi,133497,9,2018-02-20,5
62,Employee_62,Operations,Delhi,37017,13,2019-04-17,1
63,Employee_63,IT,Mumbai,127958,18,2022-09-21,2
64,Employee_64,HR,Bengaluru,46939,7,2019-10-14,1
65,Employee_65,Sales,Bengaluru,130707,17,2021-04-19,5
66,Employee_66,Finance,Jaipur,87522,10,2019-02-15,2
67,Employee_67,Operations,Pune,30193,0,2018-02-13,3
68,Employee_68,Operations,Chandigarh,66975,14,2022-05-22,3
69,Employee_69,Sales,Delhi,33413,10,2024-09-29,4
70,Employee_70,HR,Pune,53205,19,2024-02-02,4
71,Employee_71,Operations,Pune,58958,5,2024-01-28,2
72,Employee_72,Finance,Mumbai,57293,11,2018-11-30,3
73,Employee_73,HR,Bengaluru,36860,20,2024-06-10,3
74,Employee_74,IT,Bengaluru,65210,1,2021-09-02,2
75,Employee_75,Finance,Chandigarh,142112,9,2020-10-03,3
76,Employee_76,HR,Chandigarh,105136,18,2024-09-07,1
77,Employee_77,IT,Mumbai,27670,7,2022-07-04,1
78,Employee_78,Finance,Chandigarh,138712,2,2018-11-04,1
79,Employee_79,Operations,Delhi,63118,11,2023-07-14,4
80,Employee_80,IT,Delhi,90723,10,2018-11-12,5
81,Employee_81,Operations,Mumbai,48536,4,2019-08-03,3
82,Employee_82,Finance,Delhi,117972,16,2024-10-01,3
83,Employee_83,IT,Mumbai,43570,17,2018-05-11,3
84,Employee_84,Marketing,Jaipur,143902,17,2020-04-21,2
85,Employee_85,Finance,Bengaluru,95450,5,2018-07-18,2
86,Employee_86,Finance,Delhi,114401,14,2022-10-28,5
87,Employee_87,Finance,Chandigarh,82592,17,2023-01-31,1
88,Employee_88,Sales,Pune,47481,8,2023-06-13,1
89,Employee_89,Operations,Bengaluru,99790,0,2018-09-13,3
90,Employee_90,Marketing,Mumbai,102797,4,2019-07-22,3
91,Employee_91,Finance,Bengaluru,98934,12,2019-12-07,5
92,Employee_92,HR,Mumbai,88700,0,2019-12-29,5
93,Employee_93,Finance,Chandigarh,142051,20,2022-12-01,2
94,Employee_94,IT,Pune,89890,15,2020-07-10,4
95,Employee_95,Finance,Chandigarh,105122,20,2021-02-01,2
96,Employee_96,HR,Delhi,125033,16,2022-02-19,2
97,Employee_97,Marketing,Mumbai,65868,9,2021-05-12,5
98,Employee_98,Finance,Mumbai,116918,14,2024-09-01,1
99,Employee_99,HR,Chandigarh,92364,18,2022-03-26,2
100,Employee_100,IT,Pune,80935,6,2024-05-21,1
101,Employee_101,Sales,Jaipur,76590,20,2021-11-26,4
102,Employee_102,Marketing,Mumbai,96332,1,2023-11-18,1
103,Employee_103,Finance,Jaipur,38244,8,2018-12-09,2
104,Employee_104,Marketing,Jaipur,114997,2,2022-12-28,2
105,Employee_105,Sales,Bengaluru,77067,5,2021-08-26,4
106,Employee_106,IT,Chandigarh,144129,15,2020-05-18,1
107,Employee_107,Sales,Chandigarh,94999,13,2019-04-29,3
108,Employee_108,Finance,Mumbai,74656,17,2018-01-17,2
109,Employee_109,Marketing,Bengaluru,100901,0,2018-05-07,5
110,Employee_110,IT,Pune,52080,5,2021-03-12,2
111,Employee_111,Marketing,Mumbai,60812,9,2024-07-27,3
112,Employee_112,Operations,Bengaluru,128689,5,2024-02-12,3
113,Employee_113,Sales,Bengaluru,137158,3,2020-05-05,5
114,Employee_114,Sales,Mumbai,62230,3,2018-04-09,1
